...1,farmID,farm,lon,lat,zone,biomass,Dw.in,Ds.in,Dw.out,Ds.out,Dw.self,Ds.self,Dw.f.in,Ds.f.in,Dw.f.out,Ds.f.out,avtemp,all_x,all_y,all_xy,all_xz,all_yz,all_xyz,r10xz_r90yz,r25xz_r75yz,r50xz_r50yz,r75xz_r25yz,r90xz_r10yz,r10z_r90xyz,r25z_r75xyz,r50z_r50xyz,r75z_r25xyz,r90z_r10xyz,r50z_r50xz,r50xz_r50xyz,leastDwin10_z_mostDwin90_xyz,leastDwin25_z_mostDwin75_xyz,leastDwin50_z_mostDwin50_xyz,leastDwin75_z_mostDwin25_xyz,leastDwin90_z_mostDwin10_xyz,leastDwin95_z_mostDwin5_xyz,leastDwin95_xyz_mostDwin5_z,leastDwout10_xyz_mostDwout90_z,leastDwout25_xyz_mostDwout75_z,leastDwout50_xyz_mostDwout50_z,leastDwout75_xyz_mostDwout25_z,leastDwout90_xyz_mostDwout10_z,leastDwout95_xyz_mostDwout5_z,all_z
67,11533,11533,5.092,60.175,3,1560,0.139375,0.044455414,0.050069444,0.030452833,0.022708333,0.00848133,86,68,58,48,10.01558018,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,z,xz,xz,xyz,xyz,xyz,xyz,xyz,z,xyz,z,z,z,xyz,xyz,xyz,z
68,11534,11534,5.162,59.597,3,3900,0.102569444,0.032160307,0.0475,0.016449862,0.006805556,0.003927596,122,83,69,46,10.1002574,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,xyz,xyz,z,xz,xyz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
69,11543,11543,5.08,60.021,3,5460,0.040763889,0.013717818,0.055972222,0.036941995,0.001180556,0.003813752,93,32,62,31,10.19369954,x,y,xy,xz,yz,xyz,yz,xz,xz,yz,xz,xyz,xyz,xyz,z,z,z,xz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
70,11552,11552,4.978,60.25,3,780,0.021388889,0.010700749,0.034583333,0.017247004,0.001736111,0.002846084,70,61,53,29,10.35720064,x,y,xy,xz,yz,xyz,yz,xz,yz,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,xyz,xyz,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
71,11559,11559,5.404,59.657,3,3120,0.052708333,0.021800541,0.064444444,0.019694483,0.001944444,0.004439891,87,59,94,57,9.744870147,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,z,xyz,xyz,xz,xyz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
72,11571,11571,5.322,59.777,3,2340,0.046944444,0.054246138,0.162361111,0.091188176,0.005069444,0.010758197,45,28,68,38,9.654765284,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,xyz,xyz,z,z,xyz,z,xyz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,z,z,z,z
73,11575,11575,5.288,59.862,3,780,0.029444444,0.024590078,0.213194444,0.079291763,0.0175,0.012522769,15,13,34,15,10.05190888,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,yz,xyz,xyz,xyz,xyz,z,xz,xz,xyz,xyz,z,z,z,z,xyz,z,z,z,z,z,z,z
74,11605,11605,5.16,59.907,3,2340,0.631458333,0.149589794,0.026944444,0.022882491,0.197986111,0.056807832,66,30,11,11,10.14370738,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,xyz,xyz,xyz,xyz,z,xz,xz,xyz,xyz,xyz,xyz,xyz,xyz,z,z,xyz,xyz,xyz,xyz,xyz,z
75,11611,11611,5.113,60.139,3,3120,0.136666667,0.042690908,0.048541667,0.028175922,0.002708333,0.004269126,92,72,65,50,10.03231736,x,y,xy,xz,yz,xyz,yz,xz,yz,xz,xz,xyz,xyz,xyz,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,z,xyz,z,z,z,xyz,xyz,xyz,z
76,11633,11633,5.101,59.788,3,3120,0.022638889,0.009334698,0.039166667,0.009676379,0.001319444,0.003187614,84,43,76,30,9.400514294,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,z,z,xyz,xyz,xyz,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
77,11640,11640,4.943,60.333,3,3600,0.057777778,0.036087621,0.035416667,0.01474254,0.003472222,0.014856557,128,119,48,20,9.869066475,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,z,z,z,xz,xyz,xyz,xyz,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
78,11643,11643,5.262,61.201,4,2340,0.199027778,0.064264463,0.071319444,0.042008197,0.098472222,0.031762295,34,17,4,6,9.443474942,x,y,xy,xz,yz,xyz,yz,xz,yz,yz,xz,xyz,xyz,z,z,z,xz,xz,xyz,xyz,xyz,xyz,xyz,xyz,z,z,z,z,xyz,xyz,xyz,z
79,11644,11644,5.296,60.809,4,780,0.085138889,0.02931464,0.050555556,0.034494382,0.001666667,0.004212204,15,14,45,29,9.490757345,x,y,xy,xz,yz,xyz,yz,xz,yz,xz,xz,xyz,xyz,xyz,xyz,z,z,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,xyz,xyz,xyz,z
80,11649,11649,5.126,60.605,4,3120,0.100486111,0.045195788,0.053819444,0.03773881,0.016736111,0.010758197,14,18,51,37,9.542628903,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,xyz,xyz,z,z,z,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,xyz,xyz,xyz,z
81,11651,11651,5.063,60.434,3,3120,0.005347222,0.020093199,0.042569444,0.017588641,0.004305556,0.005635246,20,24,50,30,10.02459118,x,y,xy,xz,yz,xyz,yz,xz,xz,yz,xz,xyz,xyz,z,xyz,z,xz,xz,z,z,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
82,11652,11652,5.036,60.543,4,2340,0.141041667,0.04997719,0.018680556,0.008367138,0.010486111,0.011668944,18,14,46,36,9.886483935,x,y,xy,xz,yz,xyz,yz,xz,yz,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,xyz,xyz,xyz,xyz,xyz,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
83,11657,11657,4.935,60.862,4,3500,0.089166667,0.020833202,0.038958333,0.012294951,0.045208333,0.00779827,44,35,34,20,9.759748901,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,z,z,z,z,z,xyz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
84,11665,11665,4.885,60.753,4,3620,0.00625,0.009619696,0.034930556,0.012864123,0.001944444,0.003984517,37,26,46,31,9.742944124,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,z,xz,xz,xyz,z,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
85,11667,11667,4.904,60.54,4,2340,0.086944444,0.017645326,0.052986111,0.025045254,0.020138889,0.004269126,119,54,55,48,10.130769,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,xyz,xyz,xyz,z,z,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,xyz,xyz,xyz,z
86,11677,11677,5.343,60.537,4,2340,0.034097222,0.032502255,0.078402778,0.040641946,0.001041667,0.005464481,11,12,41,30,9.637057963,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,xyz,z,z,z,xz,xyz,xyz,z,z,z,z,xyz,z,z,z,z,xyz,xyz,z
87,11684,11684,5.168,60.97,4,1560,0.034097222,0.013604191,0.034791667,0.011668836,0.030138889,0.030794627,63,28,37,22,12.3648394,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,xyz,z,xz,xyz,xyz,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
88,11687,11687,5.191,60.578,4,2500,0.064930556,0.03090847,0.074791667,0.039048008,0.005555556,0.005407559,16,14,50,37,9.672143387,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,z,xz,xz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
89,11688,11688,5.09,61.189,4,2340,0.015277778,0.016962507,0.112638889,0.049920113,0.004027778,0.007285974,43,20,23,21,9.684626797,x,y,xy,xz,yz,xyz,xz,yz,xz,yz,xz,xyz,xyz,z,z,z,z,xz,xyz,z,z,z,z,z,xyz,z,z,z,z,xyz,xyz,z
90,11689,11689,5.107,60.96,4,3120,0.023888889,0.010701122,0.045486111,0.024020813,0.002222222,0.002106102,38,32,39,34,11.30150754,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,z,xyz,z,z,xz,xz,xyz,xyz,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
91,11690,11690,5.16,60.596,4,3120,0.049166667,0.033014572,0.065694444,0.039332617,0.001805556,0.004781421,15,14,46,36,9.648130595,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,z,xz,xyz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
92,11700,11700,5.028,60.876,4,3120,0.123194444,0.048724821,0.007291667,0.00461059,0.143888889,0.056067851,48,45,21,8,10.05857373,x,y,xy,xz,yz,xyz,yz,xz,xz,yz,xz,xyz,z,z,xyz,z,z,xyz,xyz,xyz,xyz,xyz,xyz,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
93,11714,11714,4.942,61.068,4,2340,0.121736111,0.030225104,0.055138889,0.018840963,0.012916667,0.003244536,98,46,44,31,9.918129455,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,xyz,z,xyz,xz,xyz,xyz,xyz,xyz,xyz,xyz,z,xyz,z,z,z,xyz,xyz,xyz,z
94,11719,11719,4.921,61.058,4,2340,0.135694444,0.039731045,0.051944444,0.018157817,0.018611111,0.005521403,100,50,41,33,9.942082853,x,y,xy,xz,yz,xyz,xz,xz,xz,yz,xz,xyz,xyz,xyz,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,z,xyz,z,z,z,xyz,xyz,xyz,z
95,11728,11728,4.908,60.965,4,1560,0.021875,0.019637673,0.070972222,0.040585047,0.014722222,0.01798725,44,32,39,28,12.68687145,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,xyz,z,z,z,xyz,xyz,xyz,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
96,11736,11736,4.867,61.056,4,2340,0.100972222,0.049863166,0.057013889,0.015197887,0.012847222,0.006033698,86,55,39,33,9.919557767,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,z,xyz,xyz,xyz,xyz,z,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,xyz,xyz,xyz,z
97,11737,11737,4.883,60.944,4,1300,0.011597222,0.017303863,0.067013889,0.042748003,0.002708333,0.009790528,46,31,33,26,9.296543438,x,y,xy,xz,yz,xyz,yz,xz,yz,xz,xz,xyz,z,xyz,xyz,z,xz,xyz,xyz,z,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
98,11738,11738,4.908,60.687,4,3600,0.017430556,0.02276858,0.033541667,0.02601303,0.002777778,0.006602914,43,28,50,39,9.784848222,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,xyz,z,xyz,xyz,z,xz,xz,xyz,xyz,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
99,11740,11740,4.94,60.405,3,4680,0.070555556,0.040015372,0.067916667,0.03062373,0.009513889,0.014856557,101,80,43,21,10.01647414,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,z,z,z,z,z,z,xyz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
100,11749,11749,4.846,60.945,4,3120,0.025277778,0.019410006,0.049861111,0.018385544,0.009513889,0.003699909,68,33,46,34,10.55018326,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,z,xyz,z,z,xyz,xyz,xyz,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
101,11754,11754,4.863,60.728,4,1560,0.08,0.042406518,0.022291667,0.012920937,0.010138889,0.008196721,67,36,46,40,9.552230539,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,z,z,xz,xyz,xyz,xyz,xyz,xyz,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
102,11756,11756,4.854,60.775,4,1560,0.112291667,0.038934317,0.010555556,0.005293474,0.039652778,0.024647086,74,33,41,29,9.504282256,x,y,xy,xz,yz,xyz,xz,yz,yz,yz,xz,xyz,xyz,xyz,z,z,xz,xyz,xyz,xyz,xyz,xyz,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
103,11758,11758,4.858,60.592,4,3120,0.034583333,0.010302389,0.025763889,0.015140902,0.000486111,0.000626138,93,45,54,44,10.04205038,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,xyz,z,z,xyz,z,z,xyz,xyz,xyz,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
104,11763,11763,4.819,60.574,4,2340,0.020833333,0.006032999,0.022430556,0.010359522,0.001527778,0.001479964,93,55,58,40,10.18534845,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,z,z,z,xyz,xyz,xyz,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
105,11770,11770,4.76,60.683,4,2340,0.025625,0.009733216,0.021875,0.009960963,0.000277778,0.000626138,102,44,54,44,9.8802629,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,xyz,z,xz,xyz,xyz,xyz,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
106,11772,11772,4.701,60.79,4,1560,0.064375,0.013831334,0.021388889,0.009733452,0.000347222,0.000910747,134,69,53,35,9.815745604,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,z,z,z,xz,xyz,xyz,xyz,xyz,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
107,11775,11775,5.22,61.468,4,3120,0.014861111,0.007741192,0.040347222,0.023223914,0.003333333,0.005179872,55,24,20,18,9.899857725,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,yz,z,xyz,z,z,z,z,xz,xyz,z,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
108,11776,11776,5.215,61.558,4,2340,0.019027778,0.039902073,0.090486111,0.043089686,0.008472222,0.016734973,10,6,15,11,9.759979358,x,y,xy,xz,yz,xyz,yz,xz,yz,xz,xz,xyz,xyz,z,xyz,z,z,xyz,xyz,xyz,z,z,z,z,xyz,z,z,z,z,xyz,xyz,z
109,11783,11783,5.081,61.407,4,3120,0.08375,0.036885137,0.002847222,0.001992214,0.101180556,0.046732696,18,10,12,8,9.922898255,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,z,xyz,z,xyz,xz,xyz,xyz,xyz,xyz,xyz,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
110,11791,11791,4.863,61.632,4,3120,0.024375,0.010530248,0.012569444,0.011782614,0.009027778,0.001593807,50,34,21,13,9.677104193,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,z,xyz,z,xz,xyz,xyz,xyz,z,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
111,11793,11793,4.728,61.284,4,1560,0.023402778,0.013318514,0.044930556,0.021914606,0.002222222,0.00136612,112,107,37,32,10.07563736,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,xyz,xyz,z,z,z,xz,xz,xyz,xyz,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
112,11800,11800,5.169,61.491,4,3120,0.034930556,0.020150205,0.026111111,0.019523939,0.018194444,0.005179872,58,26,25,20,9.88258603,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,yz,xyz,xyz,xyz,z,z,xz,xz,xyz,xyz,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
113,11803,11803,5.156,61.316,4,3120,0.015694444,0.019410052,0.032222222,0.015539443,0.002986111,0.008196721,22,21,36,29,10.21069737,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,z,z,xz,xz,xyz,z,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
114,11807,11807,5.114,61.506,4,2340,0.01125,0.010985731,0.02375,0.018385483,0.000277778,0.000626138,44,17,23,23,9.759383634,x,y,xy,xz,yz,xyz,yz,xz,xz,yz,xz,xyz,z,xyz,xyz,z,xz,xz,xyz,z,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
115,11809,11809,5.062,61.895,4,5460,0.004236111,0.004212202,0.004583333,0.00347207,0,0.000227687,11,8,30,18,9.573185764,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,xyz,z,z,xz,z,z,z,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
116,11813,11813,5.101,61.303,4,2340,0.016180556,0.016222393,0.030625,0.019011704,0.002291667,0.005350638,21,26,39,28,9.982729425,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,xyz,z,xyz,xyz,z,xz,xz,xyz,xyz,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
117,11814,11814,5.072,61.306,4,2340,0.022152778,0.020206997,0.023958333,0.014571796,0.00375,0.003529144,27,25,32,28,10.13732577,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,xyz,z,xz,xz,xyz,xyz,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
118,11833,11833,4.807,61.576,4,5460,0.073402778,0.0424061,0.007013889,0.003642834,0.005763889,0.004496812,121,83,38,13,9.347400932,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,z,z,z,xz,xyz,xyz,xyz,xyz,xyz,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
119,11854,11854,6.683,58.226,1,3120,0.02125,0.022825591,0.029583333,0.028517628,0.009722222,0.009562842,9,7,43,18,10.07484854,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,xyz,z,z,z,xz,xyz,xyz,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
120,11856,11856,6.636,58.223,1,3120,0.014791667,0.018157992,0.01625,0.016507002,0.001805556,0.003187614,9,8,55,27,10.11647138,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,xyz,xyz,z,z,z,xz,xyz,xyz,z,z,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
121,11857,11857,6.635,58.207,1,4680,0.010277778,0.016734951,0.017361111,0.009220856,0.000833333,0.001593807,12,8,61,34,10.26272877,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,xyz,z,xyz,z,z,xz,xz,xyz,z,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
122,11858,11858,6.629,58.232,1,3120,0.014027778,0.01707648,0.016736111,0.018043975,0.001666667,0.004553734,9,8,48,20,9.929901786,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,z,z,xyz,z,z,xz,xyz,xyz,z,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
123,11861,11861,6.596,58.241,1,6240,0.004930556,0.008253642,0.018472222,0.024874489,0.000902778,0.001878415,7,6,51,25,9.951068936,x,y,xy,xz,yz,xyz,yz,xz,yz,yz,xz,xyz,xyz,xyz,xyz,z,z,xz,z,z,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
124,11864,11864,6.537,58.249,1,2340,0.007430556,0.015994948,0.012638889,0.016620823,0.000347222,0.008310565,8,8,48,27,9.984593107,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,z,z,z,z,xyz,xyz,z,z,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
125,11879,11879,6.289,59.317,2,325,0.070277778,0.07991799,0.120902778,0.082650099,0.020277778,0.024191712,21,8,49,32,9.869309465,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,z,z,z,xz,xz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,z,z,xyz,z
126,11888,11888,6.171,59.314,2,2340,0.115625,0.033412805,0.057638889,0.019353065,0.041736111,0.026183971,42,27,52,34,10.28666268,x,y,xy,xz,yz,xyz,yz,yz,xz,yz,xz,xyz,xyz,xyz,xyz,z,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,xyz,xyz,xyz,z
127,11893,11893,6.143,59.27,2,3600,0.069861111,0.042804882,0.079652778,0.032217472,0.003055556,0.008652095,45,29,66,45,10.31581608,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,z,z,z,xz,xyz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,z,xyz,xyz,z
128,11907,11907,6.123,58.872,2,1000,0.012708333,0.018613366,0.047708333,0.028403784,0.007083333,0.020548725,6,4,35,24,9.111132581,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,z,z,xz,xyz,xyz,z,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
129,11908,11908,6.124,58.855,2,910,0.008680556,0.022085588,0.049722222,0.024703766,0.01,0.017531876,5,4,40,25,10.21806198,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,xyz,z,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
130,11913,11913,6.073,59.293,2,5940,0.037777778,0.018613212,0.07875,0.033355734,0.002777778,0.004952186,46,40,67,47,10.4351605,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,z,xyz,z,z,z,xz,xyz,xyz,z,z,z,z,xyz,z,z,z,z,xyz,xyz,z
131,11920,11920,6.026,59.466,2,3600,0.071805556,0.034038922,0.112222222,0.045081859,0.021111111,0.016791894,40,28,50,22,10.34736648,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,xyz,xz,xyz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,z,xyz,xyz,z
132,11925,11925,6.021,59.399,2,520,0.049513889,0.011270315,0.062569444,0.022313162,0.019861111,0.012067395,47,31,58,36,9.983105749,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,xyz,xyz,xyz,xyz,z,xz,xz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
133,11930,11930,5.992,59.452,2,3900,0.027847222,0.021117832,0.121111111,0.051001646,0.00375,0.010701275,34,22,52,26,10.24779264,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,xyz,xyz,xyz,xyz,z,z,xyz,xyz,xyz,z,z,z,z,xyz,z,z,z,z,z,xyz,z
134,11939,11939,5.966,59.205,2,2340,0.036597222,0.017759411,0.060416667,0.030908166,0.005277778,0.005009107,45,38,60,52,10.71452025,x,y,xy,xz,yz,xyz,yz,yz,xz,yz,xz,xyz,xyz,z,z,z,xz,xyz,xyz,xyz,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
135,11964,11964,5.863,59.405,2,4680,0.071736111,0.025329988,0.08875,0.029769881,0.004722222,0.006432149,48,41,51,30,10.04827908,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,z,xyz,xyz,z,xz,xyz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,z,xyz,xyz,z
136,11966,11966,5.841,59.496,2,780,0.219027778,0.098815811,0.155347222,0.050717103,0.054861111,0.021801002,39,24,41,24,10.26215663,x,y,xy,xz,yz,xyz,yz,yz,xz,yz,xz,xyz,z,z,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z,z,z,z,z,z,z,z
137,11971,11971,5.867,58.977,2,3120,0.017569444,0.00848122,0.045138889,0.015027125,0.0025,0.002561475,28,15,60,32,10.46867645,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,z,xyz,z,z,z,z,xz,xyz,xyz,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
138,11972,11972,5.844,59.117,2,2340,0.078263889,0.024533132,0.052777778,0.023508371,0.001458333,0.00204918,54,37,80,43,10.45298148,x,y,xy,xz,yz,xyz,xz,yz,xz,yz,xz,xyz,xyz,xyz,z,z,z,xyz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,xyz,xyz,xyz,z
139,12003,12003,5.723,59.064,2,3600,0.032361111,0.024931586,0.032986111,0.013888432,0.002916667,0.00307377,48,25,79,45,10.35128793,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,z,z,xz,xz,xyz,xyz,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
140,12007,12007,5.711,59.082,2,1560,0.040416667,0.013319497,0.024444444,0.017133095,0.006597222,0.00745674,50,27,69,45,10.04758765,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,z,z,xz,xyz,xyz,xyz,xyz,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
141,12011,12011,5.676,59.29,2,2340,0.238819444,0.05658008,0.053402778,0.016563923,0.030972222,0.007855191,56,51,75,36,9.858100333,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,xyz,xyz,z,xyz,z,z,xz,xyz,xyz,xyz,xyz,xyz,xyz,z,z,z,z,xyz,xyz,xyz,z
142,12018,12018,6.275,60.395,3,500,0.102152778,0.024362344,0.083333333,0.027037728,0.021875,0.016450364,46,34,44,29,9.964283212,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,z,xyz,xyz,z,z,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,z,xyz,xyz,z
143,12019,12019,6.201,60.248,3,2145,0.056041667,0.039332791,0.118680556,0.054701685,0.0025,0.002789162,42,37,47,35,9.975832538,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,xyz,z,xyz,xz,xz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,z,z,xyz,z
144,12022,12022,6.166,60.256,3,3120,0.084444444,0.0634107,0.116805556,0.054929353,0.005277778,0.004212204,46,38,57,36,10.18358189,x,y,xy,xz,yz,xyz,yz,xz,xz,yz,xz,xyz,z,xyz,z,z,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,z,z,xyz,z
145,12033,12033,5.968,60.191,3,1560,0.075347222,0.046390993,0.126458333,0.060564554,0.002291667,0.002561475,45,42,52,37,8.880342281,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,yz,xyz,xyz,z,xyz,xyz,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,z,z,xyz,z
146,12035,12035,5.94,60.107,3,2340,0.081041667,0.037283568,0.129097222,0.055612412,0.006597222,0.004838342,45,37,61,43,10.33834649,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,xyz,z,z,z,z,z,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,z,z,xyz,z
