"","s1","s2","s3","s4","s5","sp","w1","w2","w3","w4"
"10041",0.774145879675738,0.883413279805012,0.921361933555437,0.876848224443287,0.768182118837546,0.536645876915926,0.506899172409117,0.404410500028869,0.381968751383867,0.62439151141479
"10054",0.804001039738899,0.894199601402806,0.919279892903297,0.869681392647012,0.758900002789811,0.60319778563399,0.503576429685513,0.415893079041346,0.435032341119256,0.636346707661754
"10078",0.732786249530989,0.866906184770874,0.901697929291106,0.872513588611071,0.742720927196583,0.532532566102753,0.560541161854439,0.472735841145324,0.441357307141554,0.625376278392277
"10080",0.732950851033112,0.825761672324275,0.889097123488903,0.852048568197664,0.756693122279885,0.586857947768011,0.54270294924449,0.465501428120183,0.465842390119639,0.681927372804654
"10086",0.790149159905618,0.883062405724017,0.916201055610325,0.863361650466276,0.782766202844695,0.571452184653487,0.560172647687388,0.482271586513078,0.445096415038131,0.665470259281944
"10087",0.750788874804825,0.866391354222317,0.909273063799861,0.857283574896656,0.759513864188869,0.572969765167761,0.568266151733104,0.450089852837349,0.402537958470628,0.638257881849842
"10090",0.749093531100849,0.835248262252663,0.853377100348414,0.809715831270424,0.800931410300174,0.664088724614937,0.601281411269165,0.595304217204357,0.582522905239338,0.7119796331372
"10091",0.736399758690896,0.858372212031632,0.908776990752792,0.843670579110797,0.745637817415542,0.534527543543307,0.491526306479438,0.420339600017952,0.418367437988103,0.608669280828654
"10110",0.805584278437989,0.904032637283399,0.932896299325209,0.874234605806827,0.764710803072786,0.582977989962044,0.497186994431572,0.41172600683656,0.4252513040871,0.638786301056938
"10113",0.825986839924625,0.911039730757834,0.931186872454283,0.883019621965825,0.759703243213731,0.602918233011988,0.517740718424381,0.418415598436225,0.451042021200708,0.64465846112605
"10126",0.840028244295234,0.90962826683371,0.939960078326853,0.864442320195843,0.746197576075148,0.626610716661784,0.465671917577134,0.359434907920421,0.414004869348209,0.611341074246989
"10136",0.845462032090522,0.919893218506002,0.923914095848137,0.859737377489803,0.715012487402217,0.599598851860546,0.453869220970368,0.353911732636579,0.424656374582012,0.58187199715952
"10137",0.792616448563095,0.876106657198347,0.877866754606687,0.87228707103685,0.809574062815212,0.649553911950223,0.625943403337925,0.570410499597204,0.576493319471265,0.710394603528328
"10149",0.799563096133098,0.868713076977682,0.914934672675431,0.880296441787575,0.776851895850469,0.613561906713461,0.553550411781544,0.464250656602912,0.445219561378252,0.659654288656849
"10156",0.767637847366072,0.89446798153253,0.914848498364653,0.846109094488798,0.730523028727795,0.567879399522416,0.505642859978978,0.442326822943128,0.429616067596436,0.621429781831
"10181",0.699219061595042,0.847231513076389,0.89841150583632,0.830741234560931,0.734134276698966,0.533956822752349,0.498688717995554,0.428125470640289,0.430787359100223,0.598613923803216
"10183",0.774438398750132,0.876208092691614,0.905624404477724,0.845694026915983,0.741868627939452,0.578987503399632,0.523670998941557,0.457827687578724,0.435888148175277,0.638980637836573
"10194",0.728102019883753,0.84523381186898,0.892874798948872,0.844698510730362,0.734310338699625,0.523390124066607,0.488615608596097,0.408089965282688,0.418933894548543,0.60443914497417
"10197",0.771906384408354,0.874527221098348,0.902902161212687,0.839785424297458,0.743056046801211,0.592281749810227,0.546116161043052,0.46905383053481,0.447134833767954,0.630281433256913
"10206",0.723429580755192,0.826802557149482,0.882603814633408,0.826480347522762,0.707939909473726,0.516159696692167,0.404252101366869,0.376128169469559,0.417907857327251,0.537589579227622
"10212",0.719549332146303,0.819010298299649,0.881946564335868,0.844135146033047,0.732292097892059,0.568275482305023,0.494484779221596,0.46091629063941,0.46197421566573,0.609198845587943
"10213",0.736230738986774,0.842274715654038,0.895660058392219,0.832089149069878,0.72744691270032,0.6093292290032,0.511925165440923,0.455584571944362,0.451566879049618,0.599288891175795
"10216",0.707677405575984,0.831954763394731,0.896524160413587,0.837102626658871,0.717666247956182,0.523328287845448,0.489367288287072,0.423430851086451,0.420691767690671,0.578292653255714
"10223",0.700891859923184,0.796572429705942,0.870661354357172,0.834078540933237,0.717463553179577,0.526258321155872,0.503856547605434,0.445311916065455,0.478600689520845,0.610876632099656
"10224",0.689882571746551,0.805969173122122,0.876522719300281,0.835201789935409,0.707669161610525,0.547139781676534,0.458839293112241,0.416049018677893,0.425787402346579,0.577294590771139
"10229",0.737503616641512,0.869965306567048,0.896170061765999,0.844034405112546,0.704668161669344,0.554827099275415,0.454087627253275,0.42563631200132,0.438668492058156,0.562286430798044
"10232",0.651812026777919,0.761390820218778,0.846672299187921,0.815748587352204,0.712633625466131,0.515860044262813,0.521859817014814,0.472579352921647,0.461772695510198,0.600355662412556
"10238",0.763998298676098,0.870433514083203,0.897210227457961,0.831094127492955,0.699547812434951,0.595559247818732,0.470823402117826,0.44595827608938,0.454800610388431,0.552847592615551
"10240",0.677015293124371,0.772254010285719,0.833950255945754,0.793941828842959,0.692734609883536,0.526196039217497,0.503814033385666,0.443475086940188,0.459979905737101,0.599579040253281
"10256",0.724532157705054,0.839879837901771,0.864627719464181,0.766908347519523,0.613038173254176,0.546182679594719,0.34335294799141,0.276304483397788,0.312972511238072,0.48512824767382
"10264",0.702942759904037,0.797698119565373,0.825093330942409,0.782280143476118,0.667072793661458,0.473326228831516,0.420013963362145,0.367439095892493,0.35343629028516,0.556073957265059
"10291",0.732516776498602,0.849944919918453,0.923787793183181,0.873655340012177,0.765870743137714,0.553629698243239,0.493188611264771,0.406297185407191,0.409500549924442,0.635817400442426
"10292",0.762510329191068,0.845518582758269,0.920048447924361,0.864018102770806,0.747527455568829,0.542788941930055,0.460593904352075,0.403160736439173,0.419548688932282,0.602268965761199
"10298",0.806484244673893,0.879848313472307,0.907140461629426,0.858513006712674,0.742186074367364,0.649654225373176,0.49110208143893,0.406162226618304,0.486140217475991,0.627407524659554
"10300",0.776600569775339,0.861299898091374,0.91161392339621,0.877758810483019,0.775130930755723,0.58306239726483,0.537887881388313,0.435868353653586,0.435009088906908,0.660020170523171
"10303",0.820231898251831,0.891397703785376,0.920635028719117,0.861893665351305,0.760382517506842,0.599766470180142,0.520546652119991,0.453174258496066,0.463302500635481,0.630582267909303
"10309",0.757870785402983,0.828021172358399,0.886437772615219,0.847336464389684,0.751966114431703,0.56618562699276,0.533631336312511,0.460708247863437,0.457229794862131,0.648205006264966
