farmID,s1,s2,s3,s4,s5,sp,w1,w2,w3,w4
13876,11.19128205,13.21931818,15.12837838,13.426,10.74666667,8.435833333,7.073043478,6.2525,6.8972,8.775833333
13886,9.712903226,11.96714286,13.33342105,12.24358974,9.960526316,6.94516129,6.744117647,6.077142857,5.863333333,8.169230769
13887,10.404,12.48095238,13.47666667,12.38108108,9.869767442,7.164864865,6.690909091,6.2,6.244186047,8.1
13888,9.595333333,11.79071429,13.37521739,12.3075,10.06366667,7.061428571,7.227777778,6.294,6.287916667,8.135714286
13959,10.02,14.875,14.05,12.36,9.014285714,6.5,5.1,4.42,4.075,7.34
13965,11.99047619,14.445,15.02083333,13.56666667,11.92,7.532142857,7.393333333,6.291666667,5.86,9.32
14016,13.11555556,15.46222222,16.98301887,14.51333333,11.21333333,9.529166667,5.653636364,3.408333333,4.47,8.851515152
14019,10.6826087,13.26086957,13.82820513,11.8175,9.355555556,6.9875,5.737777778,5.276744186,5.172972973,7.362222222
14039,11.34666667,14.09375,15.524,14.15,11.46969697,7.530434783,6.953125,5.695588235,5.688888889,8.996969697
14040,11.67272727,13.96666667,15.48,13.78846154,11.39189189,7.967857143,6.878125,5.807352941,5.764285714,8.977142857
14041,9.38,11.7,13.60833333,12.44,10.07073171,7.140625,6.335294118,5.824242424,5.58,7.681081081
14042,9.55775,11.54,13.19093023,12.49666667,10.22413793,7.03254902,7.013076923,6.224516129,6.073170732,8.4
14043,10.81071429,13.29259259,15.22285714,13.3375,10.54666667,8.16875,6.6,5.520833333,5.996,8.15
14076,9.26969697,11.83142857,13.12391304,11.95675676,9.289189189,6.590909091,5.386666667,5.04137931,4.804,7.074285714
14081,11.8116,14.9888,15.39285714,13.40318182,10.64733333,7.679,7.001555556,5.710888889,5.63255814,8.636888889
14086,10.31666667,13.33103448,16.10322581,14.12424242,11.33255814,7.48974359,6.66097561,5.33,5.358974359,8.863636364
14136,12.3025,15.03,16.48461538,14.12444444,11.03181818,8.205405405,7.158823529,6.3625,5.724324324,8.658974359
14245,9.3525,11.83888889,13.425625,12.038,8.9704,6.3544,5.355,4.812173913,4.747777778,6.9492
14435,10.64285714,13.32888889,15.08148148,13.71463415,11.59142857,7.668627451,7.826666667,6.44,6.290909091,9.514285714
14495,12.48,15.39655172,16.20784314,14.15333333,11.17045455,8.3,6.111764706,4.809677419,5.205882353,8.529545455
