scenarios,sim,years,Hcol,years.start,Hcol.start,kws,ksp,kmax,xmax,muA,muP,muC,v,stratx,xA,xP,xC,xv,xf,xs,xmu,straty,yA,yP,yC,yv,yf,ys,ymu,R.sel,RR.ad,RS.ad,SS.ad,T.sel,TT.ad,TU.ad,UU.ad,vR.to,fR.to,sR.to,muR.to,vT.to,fT.to,sT.to,muT.to,prop.RSUU,prop.SSTU,prop.RSTU,lwr.latR,upr.latR,lwr.latT,upr.latT,zA,zP,zC
NEW,xz1.yz2,17,all_yz,8,all_xz,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.09,0.09,0.01,58,67,58,67,0.3,0.3,0.3
NEW,ref10.all,17,leastDwout90_xyz_mostDwout10_z,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.09,0.09,0.01,58,67,58,67,0.3,0.3,0.3
NEW,ref10.Dwin,17,leastDwin90_xyz_mostDwin10_z,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.09,0.09,0.01,58,67,58,67,0.3,0.3,0.3
NEW,single.resist,17,all_xz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.4,cont,1,1,1,1,1,1,1,x,0.47,0.235,0,y,1,1,0,0,0,0,0,0,0,0,0,0.09,0.09,0.01,58,67,58,67,0.3,0.3,0.3
NEW,allxyz.noRT,17,all_xyz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,58,67,58,67,0.3,0.3,0.3
NEW,TOs.ref10,17,leastDwout90_xyz_mostDwout10_z,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0.05,0,0,0,0.05,0.09,0.09,0.01,58,67,58,67,0.3,0.3,0.3
NEW.p,allz.p,17,all_z,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.05,0.05,0,58,67,58,67,0.3,0.3,0.3
NEW.p,allxyz.p,17,all_xyz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.05,0.05,0,58,67,58,67,0.3,0.3,0.3
NEW.p,allxz.p,17,all_xz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.05,0.05,0,58,67,58,67,0.3,0.3,0.3
NEW.p,xz50.yz50.p,17,r50xz_r50yz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.05,0.05,0,58,67,58,67,0.3,0.3,0.3
NEW.p,xz1.yz2.p,17,all_yz,8,all_xz,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.05,0.05,0,58,67,58,67,0.3,0.3,0.3
NEW.p,ref10.all.p,17,leastDwout90_xyz_mostDwout10_z,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.05,0.05,0,58,67,58,67,0.3,0.3,0.3
NEW.p,ref10.Dwin.p,17,leastDwin90_xyz_mostDwin10_z,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0.05,0.05,0,58,67,58,67,0.3,0.3,0.3
NEW.p,single.resist.p,17,all_xz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.4,cont,1,1,1,1,1,1,1,x,0.47,0.235,0,y,1,1,0,0,0,0,0,0,0,0,0,0.05,0.05,0,58,67,58,67,0.3,0.3,0.3
NEW.p,allxyz.noRT.p,17,all_xyz,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,58,67,58,67,0.3,0.3,0.3
NEW.p,TOs.ref10.p,17,leastDwout90_xyz_mostDwout10_z,2,all_z,1,0.4,2,0,0.838,0.838,0.986,0.05,cont,1,1,1,1,1,1,0.632455532,cont,1,1,1,1,1,1,0.632455532,x,0.3,0.15,0,y,0.3,0.15,0,0,0,0,0.05,0,0,0,0.05,0.05,0.05,0,58,67,58,67,0.3,0.3,0.3
